ecoid,ecogroup
024XY005NV,24 1
024XY013NV,24 1
024XY020NV,24 1
024XY026NV,24 1
024XY028NV,24 1
024XY033NV,24 1
024XY035NV,24 1
024XY047NV,24 1
024XY058NV,24 1
024XY002NV,24 2
024XY025NV,24 2
024XY060NV,24 2
024XY065NV,24 2
024XY067NV,24 2
024XY004NV,24 4
024XY012NV,24 4
024XY014NV,24 4
024XY059NV,24 4
024XY021NV,24 6
024XY023NV,24 6
024XY029NV,24 6
024XY032NV,24 6
024XY046NV,24 6
024XY017NV,24 7
024XY001NV,24 7
024XY055NV,24 7
024XY066NV,24 7
024XY006NV,24 9
024XY041NV,24 9
024XY007NV,24 10
024XY009NV,24 10
024XY015NV,24 10
024XY063NV,24 10
024XY064NV,24 10
024XY010NV,24 11
024XY044NV,24 11
024XY003NV,24 3A
024XY011NV,24 3B
024XY008NV,24 3B
024XY022NV,24 3B
024XY027NV,24 5A
024XY016NV,24 5A
024XY018NV,24 5A
024XY030NV,24 5B
024XY031NV,24 5B
024XY042NV,24 5B
024XY057NV,24 5B
025XY018NV,25 1
025XY022NV,25 1
025XY024NV,25 1
025XY051NV,25 1
025XY084NV,25 1
025XY017NV,25 2
025XY023NV,25 2
025XY032NV,25 2
025XY054NV,25 2
025XY057NV,25 3
025XY026NV,25 3
025XY041NV,25 3
025XY055NV,25 3
025XY083NV,25 3
025XY019NV,25 4
025XY009NV,25 4
025XY014NV,25 4
025XY015NV,25 4
025XY021NV,25 4
025XY025NV,25 4
025XY050NV,25 4
025XY058NV,25 4
025XY066NV,25 4
025XY070NV,25 4
025XY085NV,25 4
025XY045NV,25 5
025XY012NV,25 6
025XY007NV,25 6
025XY016NV,25 6
025XY027NV,25 6
025XY042NV,25 6
025XY046NV,25 6
025XY056NV,25 6
025XY013NV,25 7
025XY071NV,25 8
025XY030NV,25 8
025XY031NV,25 8
025XY052NV,25 9
025XY048NV,25 10
025XY060NV,25 11
025XY059NV,25 11
025XY065NV,25 12
025XY002NV,25 12
025XY072NV,25 12
025XY049NV,25 13
025XY069NV,25 13
025XY004NV,25 15
025XY076NV,25 15
027XY031NV,27 1
027XY032NV,27 1
