ecogroup,groupname,grouptype,modal_site,pub_status
23 1,ARAR8/PSSP6-ACTH7,DRG,023XY031NV,final
23 2,ARAR8/FEID-PSSP6,DRG,023XY017NV,final
23 3,ARARL3/FEID-ACTH7,DRG,023XY079NV,final
23 4,ARAR8/POSE,DRG,023XY044NV,final
23 5,ARTRV/PSSP6,DRG,023XY016NV,final
23 6,ARTRV-PUTR2/FEID-ACHNA,DRG,023XY066NV,final
23 8,ARTRV/BRMA4-ACHNA,DRG,023XY019NV,final
23 9,ARTRW8/ACTH7,DRG,023XY006NV,final
23 10,ARTRW8/ACSP12-PSSP6,DRG,023XY030NV,final
23 12,IVAX-AAFF/MURI,DRG,023XY023NV,final
23 13,ARNO4/PSSPS-ACTH7,DRG,023XY052NV,final
23 14,ARTR-GRSP-ATCA2/ACHY,DRG,023XY011NV,final
23 15,ARTRT/ELLAL-LETR5,DRG,023XY033NV,final
23 16,ARTRT/LECI4,DRG,023XY005NV,final
23 17,CELE3/ARTRV/FEID-PSSP6-ACHNA,DRG,023XY026NV,final
23 18,JUOS/ARAR8/ACTH7,DRG,023XY035NV,final
23 19,JUOC/ARAR8/FEID-PSSPS,DRG,023XY095NV,final
23 20,JUOS/ARTRV/PSSP6-ACTH7,DRG,023XY036NV,final
23 23,POTR5/SYMPH/BRMA4-ELTRT,DRG,023XY028NV,final
24 1,ARTRW/ACTH7,DRG,024XY005NV,final
24 2,ATCO-ARSP5/ELEL5-ACHY,DRG,024XY002NV,final
24 3A,ATCO-SAVE4/ELEL5,DRG,024XY003NV,final
24 3B,SAVE4/LECI4-DISP,DRG,024XY011NV,final
24 4,KRLA2/ACHY,DRG,024XY004NV,final
24 5A,ARAR8/FEID-PSSP6,DRG,024XY027NV,final
24 5B,ARNO4/ACTH7-ACHY,DRG,024XY030NV,final
24 6,ARTRV/FEID-PSSP6,DRG,024XY021NV,final
24 7,ARTR2/HECO26-ACHY,DRG,024XY017NV,final
24 10,SAVE4/LECI4,DRG,024XY007NV,final
24 11,ALOC2/SPAI,DRG,024XY010NV,final
25 1,ARAR8/PSSP6-ACTH7,DRG,025XY018NV,final
25 2,ARAR8/FEID-PSSP6,DRG,025XY017NV,final
25 3,ARNO4/PSSP6,DRG,025XY057NV,final
25 4,ARTRW/ACTH7-PSSP6,DRG,025XY019NV,final
25 5,ARTRT/HECO26-ACHY,DRG,025XY045NV,final
25 6,ARTRV-PUTR2/FEID-PSSP6,DRG,025XY012NV,final
25 7,ARTRT2/LECI4-PSSP6,DRG,025XY013NV,final
25 8,CELE3/ARTRV/FEID-PSSP6,DRG,025XY071NV,final
25 9,CEVE,DRG,025XY052NV,final
25 10,ARCAV/MURI,DRG,025XY048NV,final
25 11,JUOS/ARNO4/PSSPS-ACTH7-ACHY,DRG,025XY060NV,final
25 12,POTR5/SYOR2/BRMA4-ELTR7,DRG,025XY065NV,final
25 13,MURI-PONE3,DRG,025XY049NV,final
25 15,ARTRV-SYMPH/BRMA4-ELTR7,DRG,025XY004NV,final
26 1,ARAR8/ACTH7-POSE/ACWE3,DRG,026XY025NV,draft
26 2,ARAR8/ACTH7,DRG,026XY023NV,draft
26 3,ARAR8/ELEL5-POSE,DRG,026XY027NV,draft
26 4,ARAR8/ACPI2-KOMA,DRG,026XY028NV,draft
26 5,ARCA13/ACHNA-MURI,DRG,026XY049NV,draft
26 6,ARNO4/ACHNA,DRG,026XY042NV,draft
26 7,ARTRW8/ACTH7,DRG,026XY016NV,draft
26 8,ARTRW8/ACHNA-ACHY-ELEL5,DRG,026XY029NV,draft
26 9,ARTR2/ACTH7,DRG,026XY010NV,draft
26 10,ARTR2/HECO26-ACHY,DRG,026XY020NV,draft
26 11,ARTRT/LECI4,DRG,026XY012NV,draft
26 12,ARTRV-PUTR2/ACOCO,DRG,026XY005NV,draft
